Site,Floor,Row ,Cabinet,Type,Chassis ,Cluster,Hostgroup,RU,Hostname,Slot,Type,Model Name,Serial Number,Commission date,Description,Status
South Data Center,12,K,24-004,Server,PowerEdge M1000e,Prince,dell,U11,c27-06,6,M630,PowerEdge M630,35Z9S52,1/1/17,Compute Node,Production
South Data Center,12,K,24-004,Server,PowerEdge M1000e,Prince,dell,U11,c27-07,7,M630,PowerEdge M630,35X9S52,1/1/17,Compute Node,Production
South Data Center,12,K,24-004,Server,PowerEdge M1000e,Prince,dell,U11,c27-08,8,M630,PowerEdge M630,35W8S52,1/1/17,Compute Node,Production
South Data Center,12,K,24-004,Server,PowerEdge M1000e,Prince,dell,U11,c27-08,9,M630,PowerEdge M630,35W8S52,1/1/17,Compute Node,Production
South Data Center,12,K,24-004,Server,PowerEdge M1000e,Prince,dell,U11,c27-10,10,M630,PowerEdge M630,35Y8S52,1/1/17,Compute Node,Production
South Data Center,12,K,24-004,Server,PowerEdge M1000e,Prince,dell,U11,c27-11,11,M630,PowerEdge M630,35W9S52,1/1/17,Compute Node,Production
South Data Center,12,K,24-004,Server,PowerEdge M1000e,Prince,dell,U11,c27-12,12,M630,PowerEdge M630,35Z8S52,1/1/17,Compute Node,Production
South Data Center,12,K,24-004,Server,PowerEdge M1000e,Prince,dell,U11,c27-13,13,M630,PowerEdge M630,35VBS52,1/1/17,Compute Node,Production
South Data Center,12,K,24-004,Server,PowerEdge M1000e,Prince,dell,U11,c27-14,14,M630,PowerEdge M630,35YBS52,1/1/17,Compute Node,Production
South Data Center,12,K,24-004,Server,PowerEdge M1000e,Prince,dell,U11,c27-15,15,M630,PowerEdge M630,35V9S52,1/1/17,Compute Node,Production
South Data Center,12,K,24-004,Server,PowerEdge M1000e,Prince,dell,U11,c27-16,16,M630,PowerEdge M630,35ZBS52,1/1/17,Compute Node,Production
South Data Center,12,E,12-001,Server,PowerEdge M1000e,Prince,dell,U11,c28-01,1,M620,PowerEdge M620,G8HY942,1/1/17,Compute Node,Production
South Data Center,12,E,12-001,Server,PowerEdge M1000e,Prince,dell,U11,c28-02,2,M620,PowerEdge M620,GX4X942,1/1/17,Compute Node,Production
South Data Center,12,E,12-001,Server,PowerEdge M1000e,Prince,dell,U11,c28-03,3,M620,PowerEdge M620,G8HX942,1/1/17,Compute Node,Production
South Data Center,12,E,12-001,Server,PowerEdge M1000e,Prince,dell,U11,c28-04,4,M620,PowerEdge M620,GYCY942,1/1/17,Compute Node,Production
South Data Center,12,E,12-001,Server,PowerEdge M1000e,Prince,dell,U11,c28-05,5,M620,PowerEdge M620,G8H5B42,1/1/17,Compute Node,Production
South Data Center,12,E,12-001,Server,PowerEdge M1000e,Prince,dell,U11,c28-06,6,M620,PowerEdge M620,G8J2B42,1/1/17,Compute Node,Production
South Data Center,12,E,12-001,Server,PowerEdge M1000e,Prince,dell,U11,c28-07,7,M620,PowerEdge M620,G8HZ942,1/1/17,Compute Node,Production
South Data Center,12,E,12-001,Server,PowerEdge M1000e,Prince,dell,U11,c28-08,8,M620,PowerEdge M620,G8JX942,1/1/17,Compute Node,Production
South Data Center,12,E,12-001,Server,PowerEdge M1000e,Prince,dell,U11,c28-09,9,M620,PowerEdge M620,G8J1B42,1/1/17,Compute Node,Production
South Data Center,12,E,12-001,Server,PowerEdge M1000e,Prince,dell,U11,c28-10,10,M620,PowerEdge M620,G8JY942,1/1/17,Compute Node,Production
South Data Center,12,E,12-001,Server,PowerEdge M1000e,Prince,dell,U11,c28-11,11,M620,PowerEdge M620,G8J4B42,1/1/17,Compute Node,Production
South Data Center,12,E,12-001,Server,PowerEdge M1000e,Prince,dell,U11,c28-12,12,M620,PowerEdge M620,G8H4B42,1/1/17,Compute Node,Production
South Data Center,12,E,12-001,Server,PowerEdge M1000e,Prince,dell,U11,c28-13,13,M620,PowerEdge M620,G8J0B42,1/1/17,Compute Node,Production
South Data Center,12,E,12-001,Server,PowerEdge M1000e,Prince,dell,U11,c28-14,14,M620,PowerEdge M620,G8JW942,1/1/17,Compute Node,Production
South Data Center,12,E,12-001,Server,PowerEdge M1000e,Prince,dell,U11,c28-15,15,M620,PowerEdge M620,G8HW942,1/1/17,Compute Node,Production
South Data Center,12,E,12-001,Server,PowerEdge M1000e,Prince,dell,U11,c28-16,16,M620,PowerEdge M620,G8J3B42,1/1/17,Compute Node,Production
South Data Center,12,E,12-001,Server,PowerEdge M1000e,Prince,dell,U1,c29-01,1,M620,PowerEdge M620,G8N0B42,1/1/17,Compute Node,Production
South Data Center,12,E,12-001,Server,PowerEdge M1000e,Prince,dell,U1,c29-02,2,M620,PowerEdge M620,G8M3B42,1/1/17,Compute Node,Production
South Data Center,12,E,12-001,Server,PowerEdge M1000e,Prince,dell,U1,c29-03,3,M620,PowerEdge M620,G8MW942,1/1/17,Compute Node,Production
South Data Center,12,E,12-001,Server,PowerEdge M1000e,Prince,dell,U1,c29-04,4,M620,PowerEdge M620,G8MX942,1/1/17,Compute Node,Production
South Data Center,12,E,12-001,Server,PowerEdge M1000e,Prince,dell,U1,c29-05,5,M620,PowerEdge M620,GYD0B42,1/1/17,Compute Node,Production
South Data Center,12,E,12-001,Server,PowerEdge M1000e,Prince,dell,U1,c29-06,6,M620,PowerEdge M620,G8MY942,1/1/17,Compute Node,Production
South Data Center,12,E,12-001,Server,PowerEdge M1000e,Prince,dell,U1,c29-07,7,M620,PowerEdge M620,G8MZ942,1/1/17,Compute Node,Production
